Space Type: RealVectorSpaceFCL Type
Space dimension: 2
Planner type:	RRTConnect
Tree: start
q: (-1.5708       0); parent q: NONE
q: (-0.569324  -2.85174); parent q: (-0.725874  -2.72727)
q: (-0.746086  -1.17664); parent q: (-0.894961  -1.04309)
q: (-0.746086  -1.17664); parent q: (-0.894961  -1.04309)
q: (-0.59721 -1.31019); parent q: (-0.746086  -1.17664)
q: (-0.59721 -1.31019); parent q: (-0.746086  -1.17664)
q: (-0.448334  -1.44374); parent q: (-0.59721 -1.31019)
q: (-0.448334  -1.44374); parent q: (-0.59721 -1.31019)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-0.299458  -1.57729); parent q: (-0.448334  -1.44374)
q: (-1.31502 -3.45389); parent q: (-1.19082 -3.29712)
q: (-1.35126 -3.41654); parent q: (-1.19082 -3.29712)
q: (-1.49421 -3.54272); parent q: (-1.31502 -3.45389)
q: (-1.51169 -3.53596); parent q: (-1.35126 -3.41654)
q: (-1.67339 -3.63156); parent q: (-1.49421 -3.54272)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
q: (-1.67212 -3.65538); parent q: (-1.51169 -3.53596)
